,State,Year,Rape,K&A,DD,AoW,AoM,DV,WT
487,Bihar,2015,1041,5158,1154,198,78,3792,21
488,Chhattisgarh,2015,1560,1354,89,1868,507,620,4
489,Goa,2015,86,70,0,150,58,19,3
490,Gujarat,2015,503,1569,12,1164,536,4133,35
491,Haryana,2015,1070,2336,243,1886,688,3525,44
492,Himachal Pradesh,2015,244,239,2,434,99,226,6
493,Jammu & Kashmir,2015,296,1071,6,1343,244,400,0
494,Jharkhand,2015,1053,930,267,844,531,1654,3
495,Karnataka,2015,589,1611,254,5112,535,2732,420
496,Kerala,2015,1256,192,8,3987,1145,3668,135
497,Madhya Pradesh,2015,4391,4547,664,8049,2559,5281,25
498,Maharashtra,2015,4144,5096,268,11713,4751,7640,381
499,Manipur,2015,46,94,0,84,2,39,0
500,Meghalaya,2015,93,58,1,95,22,44,0
501,Mizoram,2015,58,8,0,75,53,9,0
502,Nagaland,2015,35,30,0,8,6,4,3
503,Odisha,2015,2251,2587,356,6499,886,3605,35
504,Punjab,2015,886,1253,85,1123,400,1583,69
505,Rajasthan,2015,3644,4167,463,4813,649,14383,86
506,Sikkim,2015,5,21,1,21,5,2,0
507,Tamil Nadu,2015,421,1335,65,1163,197,1900,491
508,Telangana,2015,1105,648,262,3608,620,7329,252
509,Tripura,2015,213,120,28,352,28,501,2
510,Uttar Pradesh,2015,3025,10135,2335,7885,5925,8660,33
511,Uttarakhand,2015,283,336,54,318,51,407,18
512,West Bengal,2015,1199,3938,498,5069,674,20163,101
513,A & N Islands,2015,36,21,0,57,23,14,0
514,Chandigarh,2015,72,165,5,76,22,126,0
515,D&N Haveli,2015,8,9,1,5,0,2,0
516,Daman & Diu,2015,5,13,0,7,3,3,0
517,Delhi UT,2015,2199,4301,122,5367,1150,3521,3
518,Lakshadweep,2015,0,0,0,6,0,2,0
519,Puducherry,2015,3,14,1,33,10,4,1
520,Andhra Pradesh,2016,994,626,193,4829,1305,6461,186
521,Arunachal Pradesh,2016,92,85,1,109,4,50,0
522,Assam,2016,1779,5339,157,3378,677,9321,65
523,Bihar,2016,1008,5496,987,324,124,3794,50
524,Chhattisgarh,2016,1626,1447,84,1770,244,622,17
525,Goa,2016,61,69,2,143,41,23,3
526,Gujarat,2016,982,2146,12,1224,473,3732,76
527,Haryana,2016,1187,2697,260,1860,699,3313,59
528,Himachal Pradesh,2016,252,201,3,410,114,214,7
529,Jammu & Kashmir,2016,256,774,6,1235,253,342,1
530,Jharkhand,2016,1109,693,278,667,373,1002,0
531,Karnataka,2016,1655,1923,234,5260,703,2556,323
532,Kerala,2016,1656,166,25,4029,1273,3455,113
533,Madhya Pradesh,2016,4882,4904,629,8717,3128,6264,20
534,Maharashtra,2016,4189,6170,248,11396,4057,7215,303
535,Manipur,2016,55,95,0,65,15,29,0
536,Meghalaya,2016,190,51,0,68,20,26,2
537,Mizoram,2016,23,3,0,71,44,19,3
538,Nagaland,2016,26,50,1,14,6,3,0
539,Odisha,2016,1983,2291,397,8252,979,2781,38
540,Punjab,2016,838,1208,80,1025,325,1568,64
541,Rajasthan,2016,3656,4010,462,4839,483,13811,56
542,Sikkim,2016,92,12,0,34,8,2,0
543,Tamil Nadu,2016,319,1043,58,854,115,1256,432
544,Telangana,2016,1278,987,254,3767,859,7202,240
545,Tripura,2016,207,119,19,214,52,430,0
546,Uttar Pradesh,2016,4816,12994,2473,11335,9422,11156,50
547,Uttarakhand,2016,336,377,57,344,35,392,11
548,West Bengal,2016,1110,4494,535,4177,663,19302,87
549,A & N Islands,2016,30,21,0,46,15,7,0
550,Chandigarh,2016,68,112,4,76,26,122,0
551,D&N Haveli,2016,14,5,0,1,0,6,0
552,Daman & Diu,2016,12,9,0,4,0,8,4
553,Delhi UT,2016,2155,3891,162,4165,796,3877,4
554,Lakshadweep,2016,5,0,0,1,0,2,0
555,Puducherry,2016,6,11,0,43,13,15,0
556,Andhra Pradesh,2017,988,712,152,5129,1998,7156,121
557,Arunachal Pradesh,2017,59,74,0,97,5,56,2
558,Assam,2017,1772,5554,171,3569,108,9782,40
559,Bihar,2017,605,6182,1081,197,1,3776,24
560,Chhattisgarh,2017,1908,1457,74,1899,144,582,16
561,Goa,2017,76,61,1,134,31,21,1
562,Gujarat,2017,477,1259,9,1058,17,3223,28
563,Haryana,2017,1099,2949,245,2031,179,3326,57
564,Himachal Pradesh,2017,249,242,3,397,52,191,8
565,Jammu & Kashmir,2017,296,931,8,1417,41,377,0
566,Jharkhand,2017,914,1033,248,748,104,998,4
567,Karnataka,2017,546,967,206,5763,212,2332,236
568,Kerala,2017,2003,184,12,4413,421,2856,21
569,Madhya Pradesh,2017,5562,5200,632,9252,277,6099,27
570,Maharashtra,2017,1933,6248,233,9392,919,6584,248
571,Manipur,2017,40,70,0,66,8,19,0
572,Meghalaya,2017,119,54,1,88,21,20,0
573,Mizoram,2017,25,0,0,64,2,20,0
574,Nagaland,2017,10,7,0,12,0,3,3
575,Odisha,2017,2070,2773,326,9132,490,2525,21
576,Punjab,2017,530,1099,68,933,22,1199,7
577,Rajasthan,2017,3305,3838,457,4883,24,11508,86
578,Sikkim,2017,17,27,0,21,7,5,0
579,Tamil Nadu,2017,283,859,48,744,9,984,403
580,Telangana,2017,552,934,251,4409,1160,7838,79
581,Tripura,2017,95,90,33,225,9,348,0
582,Uttar Pradesh,2017,4246,14993,2524,12607,91,12653,25
583,Uttarakhand,2017,374,371,60,435,4,394,6
584,West Bengal,2017,1084,4232,499,3832,448,16800,67
585,A & N Islands,2017,13,3,1,38,11,4,0
586,Chandigarh,2017,65,138,1,100,12,121,0
587,D&N Haveli,2017,1,0,0,3,0,4,0
588,Daman & Diu,2017,7,0,0,6,1,5,0
589,Delhi UT,2017,1229,3783,120,2874,619,2735,6
590,Lakshadweep,2017,0,0,0,0,0,2,0
591,Puducherry,2017,7,9,2,33,4,5,0
592,Andhra Pradesh,2018,971,697,140,4445,1802,6831,152
593,Arunachal Pradesh,2018,67,87,0,103,12,60,0
594,Assam,2018,1648,6401,173,4180,171,11136,37
595,Bihar,2018,651,7951,1107,262,30,2539,49
596,Chhattisgarh,2018,2091,1842,79,1854,184,503,15
597,Goa,2018,61,78,0,125,26,9,7
598,Gujarat,2018,553,1024,9,1208,12,2923,34
599,Haryana,2018,1296,3419,216,2671,192,4154,43
600,Himachal Pradesh,2018,344,341,4,513,78,183,10
601,Jammu & Kashmir,2018,320,1061,8,1597,25,325,1
602,Jharkhand,2018,1090,1018,252,1378,37,1032,9
603,Karnataka,2018,492,1240,200,5204,138,2053,179
604,Kerala,2018,1945,173,17,4544,461,2046,4
605,Madhya Pradesh,2018,5433,6126,547,8790,270,4159,40
606,Maharashtra,2018,2142,6825,200,10835,1074,6862,200
607,Manipur,2018,52,85,0,56,8,14,0
608,Meghalaya,2018,87,58,1,95,16,18,2
609,Mizoram,2018,50,1,0,67,1,6,0
610,Nagaland,2018,10,35,0,10,5,3,1
611,Odisha,2018,918,2611,372,9973,506,1984,10
612,Punjab,2018,831,1266,67,956,19,1470,6
613,Rajasthan,2018,4335,4247,404,5249,34,12250,62
614,Sikkim,2018,16,7,1,23,5,1,0
615,Tamil Nadu,2018,331,896,55,814,14,789,386
616,Telangana,2018,606,1121,186,4567,878,6286,81
617,Tripura,2018,97,139,18,165,6,303,2
618,Uttar Pradesh,2018,3946,15381,2444,12555,17,14233,27
619,Uttarakhand,2018,561,502,63,548,8,622,0
620,West Bengal,2018,1069,4249,444,3399,391,16951,97
621,A & N Islands,2018,30,2,0,35,4,4,0
622,Chandigarh,2018,86,139,6,100,3,93,0
623,D&N Haveli,2018,7,0,0,6,2,1,0
624,Daman & Diu,2018,3,0,0,5,1,4,0
625,Delhi UT,2018,1215,3715,153,2705,552,3416,1
626,Lakshadweep,2018,2,0,0,0,1,1,0
627,Puducherry,2018,0,14,0,60,9,8,4
628,Andhra Pradesh,2019,1086,589,112,4444,1892,7851,88
629,Arunachal Pradesh,2019,63,68,1,80,6,54,0
630,Assam,2019,1773,6989,156,4619,385,11943,12
631,Bihar,2019,730,9025,1120,312,11,2397,40
632,Chhattisgarh,2019,1036,2033,76,1316,232,732,12
633,Goa,2019,72,52,1,119,37,9,1
634,Gujarat,2019,528,922,9,1048,16,3619,24
635,Haryana,2019,1480,2803,248,2581,173,4867,28
636,Himachal Pradesh,2019,359,337,4,498,72,228,10
637,Jammu & Kashmir,2019,223,893,8,1440,15,347,0
638,Jharkhand,2019,1416,1008,299,1646,7,1426,4
639,Karnataka,2019,505,1056,194,4937,107,2472,214
640,Kerala,2019,2023,227,8,4507,435,2970,10
641,Madhya Pradesh,2019,2485,6091,550,5585,174,5486,21
642,Maharashtra,2019,2299,6906,196,10472,1074,8430,152
643,Manipur,2019,36,84,0,59,7,15,0
644,Meghalaya,2019,102,71,3,96,18,23,3
645,Mizoram,2019,42,2,0,35,0,5,0
646,Nagaland,2019,8,13,0,8,1,0,0
647,Odisha,2019,1382,3934,342,11308,536,2739,19
648,Punjab,2019,1002,1534,69,944,35,1595,9
649,Rajasthan,2019,5997,5907,452,8802,69,18432,40
650,Sikkim,2019,11,0,0,21,2,1,0
651,Tamil Nadu,2019,362,699,28,803,7,781,349
652,Telangana,2019,873,1322,163,4190,695,8541,22
653,Tripura,2019,88,138,38,153,5,451,0
654,Uttar Pradesh,2019,3065,11649,2410,11988,42,18304,22
655,Uttarakhand,2019,526,375,57,475,10,644,3
656,West Bengal,2019,1069,4249,444,3399,391,16951,97
657,A & N Islands,2019,13,0,0,25,3,1,0
658,Chandigarh,2019,112,129,6,66,15,177,0
659,D&N Haveli,2019,0,1,3,3,0,3,0
660,Daman & Diu,2019,4,2,2,5,3,4,1
661,Delhi UT,2019,1253,3672,116,2355,456,3792,4
662,Lakshadweep,2019,0,0,0,5,8,0,0
663,Puducherry,2019,10,0,0,23,0,8,0
664,Andhra Pradesh,2020,1095,534,111,4886,2342,6546,48
665,Arunachal Pradesh,2020,60,45,0,73,3,69,0
666,Assam,2020,1657,5364,148,4642,90,11408,18
667,Bihar,2020,806,6671,1046,584,6,1935,30
668,Chhattisgarh,2020,1210,1341,71,1461,279,641,3
669,Goa,2020,60,31,0,67,35,8,0
670,Gujarat,2020,486,597,6,846,17,3345,47
671,Haryana,2020,1373,2423,251,2339,183,4119,28
672,Himachal Pradesh,2020,331,281,1,538,88,259,0
673,Jammu & Kashmir,2020,1321,993,275,1358,6,857,2
674,Jharkhand,2020,504,923,176,4751,70,2055,159
675,Karnataka,2020,637,151,6,3890,442,2707,5
676,Kerala,2020,2339,4782,608,5378,200,5540,14
677,Madhya Pradesh,2020,2061,5254,197,9965,969,6729,85
678,Maharashtra,2020,32,49,1,61,8,7,0
679,Manipur,2020,67,29,1,86,16,17,0
680,Meghalaya,2020,33,1,0,26,3,7,0
681,Mizoram,2020,4,6,1,7,2,2,0
682,Nagaland,2020,1211,3775,320,12605,615,3659,19
683,Odisha,2020,502,1241,63,731,28,1271,11
684,Punjab,2020,5310,4739,479,8661,85,13765,67
685,Rajasthan,2020,12,11,0,18,0,1,0
686,Sikkim,2020,389,633,40,892,31,689,231
687,Tamil Nadu,2020,764,1314,158,4907,565,7453,13
688,Telangana,2020,79,110,23,115,3,356,0
689,Tripura,2020,2769,9109,2274,9864,28,14454,25
690,Uttar Pradesh,2020,487,349,65,474,43,668,8
691,Uttarakhand,2020,1128,7740,522,2488,446,19962,52
692,West Bengal,2020,2,1,0,15,3,2,0
693,A & N Islands,2020,60,90,1,42,4,96,0
694,Chandigarh,2020,4,0,1,6,3,4,0
695,D&N Haveli,2020,997,2938,110,1840,416,2557,3
696,Daman & Diu,2020,243,775,9,1744,35,349,0
697,Delhi UT,2020,2,0,0,4,0,3,0
698,Lakshadweep,2020,3,0,0,3,1,0,0
699,Puducherry,2020,8,0,2,25,0,9,0
700,Andhra Pradesh,2021,1188,613,108,5108,2370,7092,70
701,Arunachal Pradesh,2021,83,50,0,74,10,112,0
702,Assam,2021,1733,5739,198,4499,184,12950,22
703,Bihar,2021,786,8661,1000,387,1,2069,32
704,Chhattisgarh,2021,1093,1158,65,1248,238,963,3
705,Goa,2021,72,39,0,74,20,1,1
706,Gujarat,2021,589,881,11,660,7,2271,38
707,Haryana,2021,1716,2958,275,2882,290,5755,28
708,Himachal Pradesh,2021,358,344,2,487,94,221,6
709,Jammu & Kashmir,2021,1425,1159,281,1335,6,931,3
710,Jharkhand,2021,555,906,158,5105,71,2336,190
711,Karnataka,2021,771,179,9,4059,504,4997,5
712,Kerala,2021,2947,6106,522,5760,250,7929,15
713,Madhya Pradesh,2021,2496,7559,172,10568,1038,10095,95
714,Maharashtra,2021,26,44,2,92,16,18,0
715,Manipur,2021,75,42,0,92,24,21,3
716,Meghalaya,2021,26,0,0,31,0,11,0
717,Mizoram,2021,4,5,0,11,1,2,0
718,Nagaland,2021,1456,5175,293,14853,838,4889,31
719,Odisha,2021,464,1616,69,678,39,1714,12
720,Punjab,2021,6337,5964,452,9079,73,16949,40
721,Rajasthan,2021,8,1,0,17,0,3,0
722,Sikkim,2021,422,638,27,1077,32,875,381
723,Tamil Nadu,2021,823,1934,175,4365,775,9468,12
724,Telangana,2021,61,115,22,94,1,355,0
725,Tripura,2021,2845,10574,2222,9393,27,18375,12
726,Uttar Pradesh,2021,534,402,72,655,13,519,17
727,Uttarakhand,2021,1123,7376,454,2485,424,19952,50
728,West Bengal,2021,15,0,1,32,4,4,0
729,A & N Islands,2021,74,120,4,37,6,95,0
730,Chandigarh,2021,3,23,0,7,0,6,0
731,D&N Haveli,2021,1250,4083,141,2068,417,4731,4
732,Daman & Diu,2021,315,904,16,1851,10,501,1
733,Delhi UT,2021,2,1,0,5,1,9,0
734,Lakshadweep,2021,0,0,0,1,1,3,0
735,Puducherry,2021,2,0,2,31,3,12,0
